pop,s.region,ms,id,rep,mom,year,surv,leaf.num,leaf.length,rack
B46,S.s,S,AW0029,29,AW0029,0,1,3,5,4
B49,SO.s,S,AW0041,4,AW0041,0,1,7,10,4
B49,SO.s,S,AW0041,5,AW0041,0,1,8,25,7
B49,SO.s,S,AW0041,6,AW0041,0,1,8,7,7
B49,SO.s,S,AW0041,7,AW0041,0,1,8,18,7
B49,SO.s,S,AW0041,8,AW0041,0,1,4,6,7
B49,SO.s,S,AW0041,9,AW0041,0,1,12,28,20
B49,SO.s,S,AW0041,11,AW0041,0,1,7,15,20
B49,SO.s,S,AW0041,12,AW0041,0,1,4,7,20
B49,SO.s,S,AW0041,13,AW0041,0,1,6,14,20
B49,SO.s,S,AW0041,14,AW0041,0,1,7,15,29
B49,SO.s,S,AW0041,15,AW0041,0,1,6,15,29
B49,SO.s,S,AW0041,17,AW0041,0,1,5,9,29
B49,SO.s,S,AW0041,18,AW0041,0,1,7,11,29
B49,SO.s,S,AW0041,19,AW0041,0,1,3,4,36
B49,SO.s,S,AW0041,21,AW0041,0,1,4,5,36
B49,SO.s,S,AW0041,22,AW0041,0,1,5,10,36
B49,SO.s,S,AW0041,23,AW0041,0,1,3,4,36
B49,SO.s,S,AW0041,24,AW0041,0,1,4,16,38
B49,SO.s,S,AW0041,26,AW0041,0,1,5,11,38
B49,SO.s,S,AW0041,27,AW0041,0,1,4,11,38
B49,SO.s,S,AW0041,28,AW0041,0,1,7,11,38
B49,SO.s,S,AW0041,32,AW0041,0,1,5,12,38
B42,S.s,S,AW0173,1,AW0173,0,1,14,30,38
B42,S.s,S,AW0173,2,AW0173,0,1,14,32,38
B42,S.s,S,AW0173,3,AW0173,0,1,7,15,38
B42,S.s,S,AW0173,5,AW0173,0,1,5,11,42
B42,S.s,S,AW0173,6,AW0173,0,1,4,10,42
B42,S.s,S,AW0173,8,AW0173,0,1,6,12,42
B42,S.s,S,AW0173,10,AW0173,0,1,7,21,42
B42,S.s,S,AW0173,11,AW0173,0,1,4,6,4
B42,S.s,S,AW0173,12,AW0173,0,1,6,14,4
B42,S.s,S,AW0173,14,AW0173,0,1,4,14,4
B42,S.s,S,AW0173,15,AW0173,0,1,5,14,4
B42,S.s,S,AW0173,16,AW0173,0,1,5,19,7
B42,S.s,S,AW0173,18,AW0173,0,1,9,29,7
B42,S.s,S,AW0173,19,AW0173,0,1,9,15,7
B42,S.s,S,AW0173,20,AW0173,0,1,6,20,7
B42,S.s,S,AW0173,21,AW0173,0,1,5,9,17
