pop,ms,s.region,mom,rep,id,A.D.NA,surv,surv.to.seedling,rack
C86,A,A.s,EH0062,18,EH0062.18,A,1,1,32
C86,A,A.s,EH0062,19,EH0062.19,A,1,1,32
C86,A,A.s,EH0062,20,EH0062.20,A,1,1,32
C86,A,A.s,EH0062,21,EH0062.21,A,1,1,40
C86,A,A.s,EH0062,22,EH0062.22,A,1,1,40
C86,A,A.s,EH0062,23,EH0062.23,A,1,1,40
C86,A,A.s,EH0062,24,EH0062.24,A,1,1,40
C86,A,A.s,EH0062,25,EH0062.25,NA,NA,0,42
C86,A,A.s,EH0062,26,EH0062.26,A,1,1,42
C86,A,A.s,EH0062,27,EH0062.27,A,1,1,42
C86,A,A.s,EH0062,28,EH0062.28,A,1,1,42
C86,A,A.s,EH0062,29,EH0062.29,NA,NA,0,43
C86,A,A.s,EH0062,30,EH0062.30,NA,NA,0,43
C86,A,A.s,EH0062,31,EH0062.31,A,1,1,43
C86,A,A.s,EH0062,32,EH0062.32,?,NA,0,43
C86,A,A.s,EH0064,1,EH0064.1,A,1,1,3
C86,A,A.s,EH0064,2,EH0064.2,A,1,1,3
C86,A,A.s,EH0064,3,EH0064.3,A,1,1,3
C86,A,A.s,EH0064,4,EH0064.4,A,1,1,3
C86,A,A.s,EH0064,5,EH0064.5,A,1,1,10
C86,A,A.s,EH0064,6,EH0064.6,A,1,1,10
C86,A,A.s,EH0064,7,EH0064.7,A,1,1,10
C86,A,A.s,EH0064,8,EH0064.8,A,1,1,10
C86,A,A.s,EH0064,9,EH0064.9,A,1,1,19
C86,A,A.s,EH0064,10,EH0064.10,A,1,1,19
C86,A,A.s,EH0064,11,EH0064.11,D,0,0,19
C86,A,A.s,EH0064,12,EH0064.12,A,1,1,19
C86,A,A.s,EH0064,13,EH0064.13,A,1,1,28
C86,A,A.s,EH0064,14,EH0064.14,A,1,1,28
C86,A,A.s,EH0064,15,EH0064.15,A,1,1,28
C86,A,A.s,EH0064,16,EH0064.16,A,1,1,28
C86,A,A.s,EH0064,17,EH0064.17,A,1,1,34
C86,A,A.s,EH0064,18,EH0064.18,A,1,1,34
C86,A,A.s,EH0064,19,EH0064.19,A,1,1,34
C86,A,A.s,EH0064,20,EH0064.20,A,1,1,34
C86,A,A.s,EH0064,21,EH0064.21,A,1,1,37
C86,A,A.s,EH0064,22,EH0064.22,A,1,1,37
C86,A,A.s,EH0064,23,EH0064.23,A,1,1,37
C86,A,A.s,EH0064,24,EH0064.24,A,1,1,37
C86,A,A.s,EH0064,25,EH0064.25,A,1,1,38
C86,A,A.s,EH0064,26,EH0064.26,?,NA,0,38
C86,A,A.s,EH0064,27,EH0064.27,A,1,1,38
C86,A,A.s,EH0064,28,EH0064.28,D,0,0,38
C86,A,A.s,EH0064,29,EH0064.29,A,1,1,42
C86,A,A.s,EH0064,30,EH0064.30,A,1,1,42
C86,A,A.s,EH0064,31,EH0064.31,A,1,1,42
C86,A,A.s,EH0064,32,EH0064.32,A,1,1,42
C86,A,A.s,EH0066,1,EH0066.1,A,1,1,1
C86,A,A.s,EH0066,2,EH0066.2,A,1,1,1
C86,A,A.s,EH0066,3,EH0066.3,A,1,1,1
C86,A,A.s,EH0066,4,EH0066.4,A,1,1,1
C86,A,A.s,EH0066,5,EH0066.5,NA,NA,0,10
C86,A,A.s,EH0066,6,EH0066.6,A,1,1,10
C86,A,A.s,EH0066,7,EH0066.7,A,1,1,10
C86,A,A.s,EH0066,8,EH0066.8,A,1,1,10
C86,A,A.s,EH0066,9,EH0066.9,A,1,1,15
C86,A,A.s,EH0066,10,EH0066.10,A,1,1,15
C86,A,A.s,EH0066,11,EH0066.11,A,1,1,15
C86,A,A.s,EH0066,12,EH0066.12,NA,NA,0,15
C86,A,A.s,EH0066,13,EH0066.13,A,1,1,16
C86,A,A.s,EH0066,14,EH0066.14,A,1,1,16
C86,A,A.s,EH0066,15,EH0066.15,A,1,1,16
C86,A,A.s,EH0066,16,EH0066.16,A,1,1,16
C86,A,A.s,EH0066,17,EH0066.17,A,1,1,18
C86,A,A.s,EH0066,18,EH0066.18,A,1,1,18
C86,A,A.s,EH0066,19,EH0066.19,A,1,1,18
C86,A,A.s,EH0066,20,EH0066.20,A,1,1,18
C86,A,A.s,EH0066,21,EH0066.21,A,1,1,32
C86,A,A.s,EH0066,22,EH0066.22,D,0,0,32
C86,A,A.s,EH0066,23,EH0066.23,A,1,1,32
C86,A,A.s,EH0066,24,EH0066.24,A,1,1,32
C86,A,A.s,EH0066,25,EH0066.25,A,1,1,35
C86,A,A.s,EH0066,26,EH0066.26,A,1,1,35
C86,A,A.s,EH0066,27,EH0066.27,A,1,1,35
C86,A,A.s,EH0066,28,EH0066.28,A,1,1,35
C86,A,A.s,EH0066,29,EH0066.29,NA,NA,0,39
C86,A,A.s,EH0066,30,EH0066.30,A,1,1,39
C86,A,A.s,EH0066,31,EH0066.31,A,1,1,39
C86,A,A.s,EH0066,32,EH0066.32,A,1,1,39
C86,A,A.s,EH0069,1,EH0069.1,A,1,1,3
C86,A,A.s,EH0069,2,EH0069.2,A,1,1,3
C86,A,A.s,EH0069,3,EH0069.3,A,1,1,3
C86,A,A.s,EH0069,4,EH0069.4,NA,NA,0,3
C86,A,A.s,EH0069,5,EH0069.5,NA,NA,0,9
C86,A,A.s,EH0069,6,EH0069.6,A,1,1,9
C86,A,A.s,EH0069,7,EH0069.7,A,1,1,9
C86,A,A.s,EH0069,8,EH0069.8,A,1,1,9
C86,A,A.s,EH0069,9,EH0069.9,A,1,1,19
C86,A,A.s,EH0069,10,EH0069.10,NA,NA,0,19
C86,A,A.s,EH0069,11,EH0069.11,A,1,1,19
C86,A,A.s,EH0069,12,EH0069.12,A,1,1,19
C86,A,A.s,EH0069,13,EH0069.13,A,1,1,25
C86,A,A.s,EH0069,14,EH0069.14,D,0,0,25
C86,A,A.s,EH0069,15,EH0069.15,NA,NA,0,25
C86,A,A.s,EH0069,16,EH0069.16,NA,NA,0,25
C86,A,A.s,EH0069,17,EH0069.17,A,1,1,26
C86,A,A.s,EH0069,18,EH0069.18,A,1,1,26
C86,A,A.s,EH0069,19,EH0069.19,A,1,1,26
C86,A,A.s,EH0069,20,EH0069.20,NA,NA,0,26
C86,A,A.s,EH0069,21,EH0069.21,A,1,1,36
C86,A,A.s,EH0069,22,EH0069.22,A,1,1,36
C86,A,A.s,EH0069,23,EH0069.23,?,NA,0,36
C86,A,A.s,EH0069,24,EH0069.24,NA,NA,0,36
C86,A,A.s,EH0069,25,EH0069.25,NA,NA,0,40
C86,A,A.s,EH0069,26,EH0069.26,?,NA,0,40
C86,A,A.s,EH0069,27,EH0069.27,A,1,1,40
